Reg	Aircraft Type	Config	Delivered	Remark	Aircraft Name	Age	
VT-SCF	Airbus A319-100 	C8Y114	Aug 2007			19.2 Years	
VT-SCH	Airbus A319-100	C8Y114	Oct 2007			18.1 Years	
VT-SCM	Airbus A319-100	C8Y114	Nov 2008			17.3 Years	
VT-SCQ	Airbus A319-100	C8Y114	May 2009			16.6 Years	
VT-SCR	Airbus A319-100	C8Y114	Jul 2009			16.4 Years	
VT-SCV	Airbus A319-100	C8Y114	Nov 2009			16.1 Years	
VT-EDC	Airbus A320-200	C12Y138	Feb 2010			15.9 Years	
VT-EDD	Airbus A320-200	C12Y138	Feb 2010			15.8 Years	
VT-EDE	Airbus A320-200	C12Y138	Mar 2010			15.8 Years	
VT-EDF	Airbus A320-200	C12Y138	Mar 2010			15.8 Years	
VT-ATV	Airbus A320neo	C8W24Y132	Nov 2024	lsd, TATA SIA Airlines Retro cs		7.3 Years	
VT-CID	Airbus A320neo	C8W24Y132	Feb 2017	Parked / Maintenance, lsd		8.8 Years	
VT-CIE	Airbus A320neo	C8W24Y132	Apr 2017	lsd		8.7 Years	
VT-CIF	Airbus A320neo	C8W24Y132	Jun 2017	lsd		8.5 Years	
VT-CIG	Airbus A320neo	C8W24Y132	Oct 2017	lsd		8.2 Years	
VT-CIH	Airbus A320neo	C8W24Y132	Jan 2018	lsd		7.9 Years	
VT-CIM	Airbus A320neo	C8W24Y132	Jun 2018	lsd		7.5 Years	
VT-CIN	Airbus A320neo	C8W24Y132	Apr 2018	lsd, Star Alliance  cs		7.7 Years	
VT-CIO	Airbus A320neo	C8W24Y132	Apr 2018	lsd		7.6 Years	
VT-CIP	Airbus A320neo	C8W24Y132	Jul 2018	lsd		7.4 Years	
VT-CIQ	Airbus A320neo	C8W24Y132	Jul 2018	lsd		7.4 Years	
VT-EXF	Airbus A320neo	C8W24Y132	Feb 2017	lsd		8.9 Years	
VT-EXG	Airbus A320neo	C8W24Y132	Apr 2017	lsd		8.7 Years	
VT-EXH	Airbus A320neo	C8W24Y132	Dec 2017	lsd		8 Years	
VT-EXI	Airbus A320neo	C8W24Y132	Sep 2017	lsd		8.2 Years	
VT-EXJ	Airbus A320neo	C8W24Y132	Dec 2017	lsd		8 Years	
VT-EXK	Airbus A320neo	C8W24Y132	Dec 2017	lsd		8 Years	
VT-EXL	Airbus A320neo	C8W24Y132	Dec 2017	Parked / Maintenance, lsd		8 Years	
VT-EXM	Airbus A320neo	C8W24Y132	Feb 2018	lsd		7.9 Years	
VT-EXN	Airbus A320neo	C8W24Y132	Jan 2019	lsd		7 Years	
VT-EXO	Airbus A320neo	C8W24Y132	Nov 2018	lsd, Star Alliance  cs		7.1 Years	
VT-EXP	Airbus A320neo	C8W24Y132	Dec 2018	lsd		7 Years	
VT-EXQ	Airbus A320neo	C8W24Y132	Feb 2019	lsd		6.8 Years	
VT-EXR	Airbus A320neo	C8W24Y132	Apr 2019	lsd		6.6 Years	
VT-EXS	Airbus A320neo	C8W24Y132	Mar 2019	lsd		6.7 Years	
VT-EXT	Airbus A320neo	C8W24Y132	Apr 2017	lsd		8.7 Years	
VT-EXU	Airbus A320neo	C8W24Y132	May 2017	lsd		8.6 Years	
VT-EXV	Airbus A320neo	C8W24Y132	Jul 2017	lsd		8.5 Years	
VT-RIO	Airbus A320neo	C8W24Y132	Jul 2024	lsd		1.4 Years	
VT-RTJ	Airbus A320neo	C8W24Y132	Jan 2024	lsd		1.9 Years	
VT-RTK	Airbus A320neo	C8W24Y132	Feb 2024	lsd		1.8 Years	
VT-RTL	Airbus A320neo	C8W24Y132	Mar 2024	lsd		1.7 Years	
VT-RTM	Airbus A320neo	C8W24Y132	May 2024	lsd		1.6 Years	
VT-RTN	Airbus A320neo	C8W24Y132	Jul 2024	lsd		1.5 Years	
VT-RTS	Airbus A320neo	C8W24Y132	Mar 2024	lsd		1.8 Years	
VT-RTT	Airbus A320neo	C8W24Y132	Nov 2023	lsd		2.1 Years	
VT-RTU	Airbus A320neo	C8W24Y132	Dec 2023	lsd		2 Years	
VT-RTV	Airbus A320neo	C8W24Y132	Feb 2024	lsd		1.9 Years	
VT-RTW	Airbus A320neo	C8W24Y132	Feb 2024	lsd		1.9 Years	
VT-RTX	Airbus A320neo	C8W24Y132	Feb 2024	lsd		1.9 Years
VT-RTY	Airbus A320neo 	C8W24Y132	Mar 2024	lsd		1.7 Years	
VT-RTZ	Airbus A320neo	C8W24Y132	May 2024	lsd		1.6 Years	
VT-TNB	Airbus A320neo	C8W24Y132	Nov 2024	lsd		8.6 Years	
VT-TNC	Airbus A320neo	C8W24Y132	Nov 2024	lsd		8.5 Years	
VT-TNE	Airbus A320neo	C8W24Y132	Nov 2024	lsd		8.3 Years	
VT-TNF	Airbus A320neo	C8W24Y132	Nov 2024	lsd		8.1 Years	
VT-TNH	Airbus A320neo	C8W24Y132	Nov 2024	lsd		7.9 Years	
VT-TNI	Airbus A320neo	C8W24Y132	Nov 2024	lsd		7.8 Years	
VT-TNJ	Airbus A320neo	C8W24Y132	Nov 2024	lsd		7.7 Years	
VT-TNK	Airbus A320neo	C8W24Y132	Nov 2024	lsd		7.5 Years	
VT-TNL	Airbus A320neo	Y180	Nov 2024	lsd		6.1 Years	
VT-TNM	Airbus A320neo	Y180	Nov 2024	lsd		6.1 Years	
VT-TNN	Airbus A320neo	Y180	Nov 2024	lsd		8.7 Years	
VT-TNP	Airbus A320neo	C8W24Y132	Nov 2024	lsd		6.2 Years	
VT-TNQ	Airbus A320neo	C8W24Y132	Nov 2024	lsd		6.2 Years	
VT-TNR	Airbus A320neo	C8W24Y132	Nov 2024	Parked / Maintenance, lsd		6.1 Years	
VT-TNS	Airbus A320neo	C8W24Y132	Nov 2024	lsd		6 Years	
VT-TNU	Airbus A320neo	C8W24Y132	Nov 2024	lsd		6.1 Years	
VT-TNV	Airbus A320neo	C8W24Y132	Nov 2024	lsd		6 Years	
VT-TNW	Airbus A320neo	C8W24Y132	Nov 2024	lsd		6 Years	
VT-TNX	Airbus A320neo	C8W24Y132	Nov 2024	lsd		5.5 Years	
VT-TNY	Airbus A320neo	C8W24Y132	Nov 2024	lsd		5.8 Years	
VT-TNZ	Airbus A320neo	C8W24Y132	Nov 2024	lsd		5.2 Years	
VT-TQA	Airbus A320neo	C8W24Y132	Nov 2024			5.1 Years	
VT-TQB	Airbus A320neo	C8W24Y132	Nov 2024	lsd		5.1 Years	
VT-TQC	Airbus A320neo	C8W24Y132	Nov 2024	lsd		4.9 Years	
VT-TQD	Airbus A320neo	C8W24Y132	Nov 2024	lsd		4.8 Years	
VT-TQE	Airbus A320neo	C8W24Y132	Nov 2024			4.7 Years	
VT-TQF	Airbus A320neo	C8W24Y132	Nov 2024	lsd		4.8 Years	
VT-TQG	Airbus A320neo	C8W24Y132	Nov 2024	lsd		4.4 Years	
