Reg	Aircraft Type	Config	Delivered	Remark	Age	
VT-IAN	Airbus A320-200 	Y180	Mar 2014		11.8 Years	
VT-IAO	Airbus A320-200	Y180	Apr 2014		11.8 Years	
VT-IAQ	Airbus A320-200	Y180	Aug 2014		11.3 Years	
VT-IAR	Airbus A320-200	Y180	Sep 2014		11.2 Years	
VT-IAS	Airbus A320-200	Y180	Sep 2014		11.2 Years	
VT-IAX	Airbus A320-200	Y180	Oct 2014	lsd	11.2 Years	
VT-IFH	Airbus A320-200	Y180	Jan 2013		12.9 Years	
VT-IFI	Airbus A320-200	Y180	Feb 2013		12.9 Years	
VT-IFK	Airbus A320-200	Y180	Feb 2013		12.8 Years	
VT-IFL	Airbus A320-200	Y180	Mar 2013		12.8 Years	
VT-IFM	Airbus A320-200	Y180	Apr 2013		12.7 Years	
VT-IFN	Airbus A320-200	Y180	May 2013		12.6 Years	
VT-IFP	Airbus A320-200	Y180	Jul 2013		12.5 Years	
VT-IFQ	Airbus A320-200	Y180	Jul 2013		12.5 Years	
VT-IFR	Airbus A320-200	Y180	Aug 2013		12.4 Years	
VT-IFS	Airbus A320-200	Y180	Aug 2013		12.3 Years	
VT-IFV	Airbus A320-200	Y180	Oct 2013		12.1 Years	
VT-IFZ	Airbus A320-200	Y180	Feb 2014		11.9 Years	
VT-IKK	Airbus A320-200	Y180	Jun 2023	lsd	19.5 Years	
VT-IKP	Airbus A320-200	Y180	Aug 2024	lsd	19.1 Years	
VT-IKQ	Airbus A320-200	Y180	Sep 2024	lsd	16.3 Years	
VT-IKS	Airbus A320-200	Y180	Nov 2024	lsd	14.5 Years	
VT-IWW	Airbus A320-200	Y180	May 2024	lsd	14.6 Years	
VT-IWX	Airbus A320-200	Y180	Nov 2024	lsd	15.4 Years	
VT-IWY	Airbus A320-200	Y180	Jan 2025	lsd	15.2 Years	
VT-IWZ	Airbus A320-200	Y180	Jun 2024	lsd	14.7 Years	
VT-IIA	Airbus A320neo	Y186	Aug 2021	lsd	4.4 Years	
VT-IIB	Airbus A320neo	Y186	Sep 2021	lsd	4.3 Years	
VT-IID	Airbus A320neo	Y186	Sep 2021	lsd	4.3 Years	
VT-IIE	Airbus A320neo	Y186	Oct 2021	lsd	4.3 Years	
VT-IIF	Airbus A320neo	Y186	Sep 2021	lsd	4.3 Years	
VT-IIG	Airbus A320neo	Y186	Oct 2021	lsd	4.3 Years	
VT-IIH	Airbus A320neo	Y186	Oct 2021	lsd	4.2 Years	
VT-IIJ	Airbus A320neo	Y186	Oct 2021	lsd	4.2 Years	
VT-IIK	Airbus A320neo	Y186	Nov 2021		4.1 Years	
VT-IIL	Airbus A320neo	Y186	Nov 2021	lsd	4.1 Years	
VT-IIM	Airbus A320neo	Y186	Dec 2021		4.1 Years	
VT-IIN	Airbus A320neo	Y186	Dec 2021	lsd	4.1 Years	
VT-IIO	Airbus A320neo	Y186	Dec 2021	lsd	4 Years	
VT-IIP	Airbus A320neo	Y186	Dec 2021	lsd	4.1 Years	
VT-IIQ	Airbus A320neo	Y186	Jan 2022	lsd	4 Years	
VT-IIR	Airbus A320neo	Y186	Jan 2022	lsd	4 Years	
VT-IIS	Airbus A320neo	Y186	Feb 2022	lsd	3.8 Years	
VT-IIU	Airbus A320neo	Y186	May 2022	lsd	3.6 Years	
VT-IIV	Airbus A320neo	Y186	May 2022	lsd	3.6 Years	
VT-IIW	Airbus A320neo	Y186	May 2022	lsd	3.6 Years	
VT-IIX	Airbus A320neo	Y186	Sep 2022	lsd	3.2 Years	
VT-IIY	Airbus A320neo	Y186	Sep 2022	lsd	3.4 Years	
VT-IIZ	Airbus A320neo	Y186	Jul 2022	lsd	3.4 Years	
VT-IJE	Airbus A320neo	Y186	May 2019	Parked at NAG, lsd	6.6 Years
VT-IJG	Airbus A320neo 	Y186	Feb 2020		5.9 Years	
VT-IJM	Airbus A320neo	Y186	Jul 2019	Parked at VO95, lsd	6.4 Years	
VT-IJN	Airbus A320neo	Y186	Apr 2020	Parked at DEL, lsd	5.7 Years	
VT-IJQ	Airbus A320neo	Y186	May 2020	lsd	5.6 Years	
VT-IJT	Airbus A320neo	Y186	Oct 2019	Parked at IXC, lsd	6.1 Years	
VT-IJU	Airbus A320neo	Y186	Dec 2019	Parked at BLR, lsd	6 Years	
VT-IJV	Airbus A320neo	Y186	Dec 2019	Parked at COK, lsd	5.9 Years	
VT-IJW	Airbus A320neo	Y186	Mar 2020	lsd	5.8 Years	
VT-IJX	Airbus A320neo	Y186	Mar 2020	lsd	5.8 Years	
VT-IJY	Airbus A320neo	Y186	Mar 2020	lsd	5.8 Years	
VT-IJZ	Airbus A320neo	Y186	May 2020		5.7 Years	
VT-IKN	Airbus A320neo	Y180	Feb 2023	lsd	9.9 Years	
VT-IOF	Airbus A320neo	Y186	Oct 2025		0.2 Years	
VT-IOG	Airbus A320neo	Y186	On Order			
VT-IOH	Airbus A320neo	Y186	On Order		Brand new	
VT-IOI	Airbus A320neo	Y186	Dec 2025		Brand new	
VT-IPC	Airbus A320neo	Y186	Aug 2022	lsd	3.4 Years	
VT-IPD	Airbus A320neo	Y186	Oct 2022	lsd	3.2 Years	
VT-IPE	Airbus A320neo	Y186	Oct 2022	lsd	3.2 Years	
VT-IPF	Airbus A320neo	Y186	Nov 2022	lsd	3.2 Years	
VT-IPG	Airbus A320neo	Y186	Oct 2022	lsd	3.2 Years	
VT-IPH	Airbus A320neo	Y186	Oct 2022	lsd	3.2 Years	
VT-IPI	Airbus A320neo	Y186	Nov 2022	lsd	3.1 Years	
VT-IPJ	Airbus A320neo	Y186	Dec 2022	Parked / Maintenance, lsd	3 Years	
VT-IPK	Airbus A320neo	Y186	Dec 2022	lsd	3.1 Years	
VT-IPL	Airbus A320neo	Y186	Dec 2022	lsd	3 Years	
VT-IPM	Airbus A320neo	Y186	Dec 2022	lsd	3 Years	
VT-IPN	Airbus A320neo	Y186	Dec 2022	lsd	3 Years	
VT-IPO	Airbus A320neo	Y186	Dec 2022	lsd	3 Years	
VT-IPP	Airbus A320neo	Y186	Jan 2023	lsd	2.9 Years	
VT-IPQ	Airbus A320neo	Y186	Mar 2023	lsd	2.7 Years	
VT-IPR	Airbus A320neo	Y186	Mar 2023	lsd	2.8 Years	
VT-IPS	Airbus A320neo	Y186	Apr 2023	lsd	2.7 Years	
VT-IPT	Airbus A320neo	Y186	May 2023	lsd	2.6 Years	
VT-IPU	Airbus A320neo	Y186	Sep 2023	lsd	2.3 Years	
VT-IPV	Airbus A320neo	Y186	Jun 2023	lsd	2.5 Years	
VT-IPW	Airbus A320neo	Y186	Jul 2023	lsd	2.5 Years	
VT-IPX	Airbus A320neo	Y186	Jun 2023	lsd	2.5 Years	
VT-IPY	Airbus A320neo	Y186	Jul 2023	lsd	2.4 Years	
VT-IPZ	Airbus A320neo	Y186	Jul 2023	lsd	2.5 Years	
VT-IQA	Airbus A320neo	Y186	Aug 2023	lsd	2.4 Years	
VT-IQC	Airbus A320neo	Y186	Aug 2023	lsd	2.4 Years	
VT-IQD	Airbus A320neo	Y186	Sep 2023	lsd	2.4 Years	
VT-IQE	Airbus A320neo	Y186	Aug 2023	lsd	2.4 Years	
VT-IQF	Airbus A320neo	Y186	Sep 2023	lsd	2.3 Years	
VT-IQG	Airbus A320neo	Y186	Sep 2023	lsd	2.3 Years	
VT-IQH	Airbus A320neo	Y186	Oct 2023	lsd	2.3 Years	
VT-IQI	Airbus A320neo	Y186	Oct 2023	lsd	2.1 Years	
VT-IQJ	Airbus A320neo	Y186	Nov 2023	lsd	2.1 Years	
VT-IQK	Airbus A320neo	Y186	Nov 2023	lsd	2.1 Years
VT-IQL	Airbus A320neo 	Y186	Dec 2023	lsd	2 Years	
VT-IQM	Airbus A320neo	Y186	Dec 2023	lsd	2.1 Years	
VT-IQN	Airbus A320neo	Y186	Dec 2023	lsd	2 Years	
VT-IQO	Airbus A320neo	Y186	Dec 2023	lsd	2.1 Years	
VT-IQP	Airbus A320neo	Y186	Jan 2024	lsd	2 Years	
VT-IQQ	Airbus A320neo	Y186	Jan 2024	lsd	1.9 Years	
VT-IQS	Airbus A320neo	Y186	Jan 2024	lsd	1.9 Years	
VT-IQT	Airbus A320neo	Y186	Feb 2024	lsd	1.8 Years	
VT-IQU	Airbus A320neo	Y186	Mar 2024	lsd	1.8 Years	
VT-IQV	Airbus A320neo	Y186	Feb 2024	lsd	1.9 Years	
VT-IQW	Airbus A320neo	Y186	Apr 2024	lsd	1.7 Years	
VT-IQX	Airbus A320neo	Y186	Feb 2024	lsd	1.9 Years	
VT-IQY	Airbus A320neo	Y186	Feb 2024	lsd	1.8 Years	
VT-IQZ	Airbus A320neo	Y186	Jul 2024	lsd	1.4 Years	
VT-ISA	Airbus A320neo	Y186	Apr 2020	lsd	5.7 Years	
VT-ISB	Airbus A320neo	Y186	Jun 2020	Parked at COK, lsd	5.6 Years	
VT-ISC	Airbus A320neo	Y186	May 2020		5.6 Years	
VT-ISD	Airbus A320neo	Y186	Jul 2020	Parked at COK, lsd	5.6 Years	
VT-ISE	Airbus A320neo	Y186	Aug 2020	Parked at NAG, lsd	5.5 Years	
VT-ISF	Airbus A320neo	Y186	Sep 2020	Parked at NAG, lsd	5.6 Years	
VT-ISI	Airbus A320neo	Y186	Jul 2020	Parked at BLR, lsd	5.5 Years	
VT-ISJ	Airbus A320neo	Y186	Jul 2020	Parked at DEL, lsd	5.5 Years	
VT-ISK	Airbus A320neo	Y186	May 2020	lsd	5.6 Years	
VT-ISL	Airbus A320neo	Y186	Aug 2020	lsd	5.5 Years	
VT-ISM	Airbus A320neo	Y186	Aug 2020	lsd	5.4 Years	
VT-ISN	Airbus A320neo	Y186	Aug 2020	Parked at JAI, lsd	5.5 Years	
VT-ISO	Airbus A320neo	Y186	Sep 2020	lsd	5.3 Years	
VT-ISP	Airbus A320neo	Y186	Nov 2020	lsd	5.1 Years	
VT-ISQ	Airbus A320neo	Y186	Nov 2020	lsd	5.1 Years	
VT-ISR	Airbus A320neo	Y186	Nov 2020	lsd	5.1 Years	
VT-ISS	Airbus A320neo	Y186	Dec 2020	lsd	5 Years	
VT-IST	Airbus A320neo	Y186	Apr 2021	lsd	4.7 Years	
VT-ISU	Airbus A320neo	Y186	May 2021	lsd	4.7 Years	
VT-ISV	Airbus A320neo	Y186	Jul 2021	lsd	4.5 Years	
VT-ISW	Airbus A320neo	Y186	Jul 2021	lsd	4.4 Years	
VT-ISX	Airbus A320neo	Y186	Jul 2021	lsd	4.4 Years	
VT-ISY	Airbus A320neo	Y186	Sep 2021	lsd	4.3 Years	
VT-ISZ	Airbus A320neo	Y186	Aug 2022	lsd	3.3 Years	
VT-ITA	Airbus A320neo	Y180	Mar 2016	lsd	9.7 Years	
VT-ITB	Airbus A320neo	Y180	Sep 2016	lsd	10.2 Years	
VT-ITF	Airbus A320neo	Y180	Apr 2016	lsd	9.7 Years	
VT-ITG	Airbus A320neo	Y180	Sep 2016	Parked at COK, lsd	9.6 Years	
