Reg	Aircraft Type	Config	Delivered	Remark	Aircraft Name	Age	
VT-SFB	Boeing 737-700(F) 	Cargo	Sep 2018	Parked at DEL, lsd	Bolt	27.4 Years	
VT-SFD	Boeing 737-700(F)	Cargo	Apr 2019	Parked at DEL, lsd	Sonic	25.3 Years	
VT-SFE	Boeing 737-700(F)	Cargo	Jul 2019	Parked at DEL, lsd	Flash	27.3 Years	
VT-SLA	Boeing 737-700	Y149	Nov 2015	lsd		18.4 Years	
VT-SLB	Boeing 737-700	Y149	Nov 2015	Parked / Maintenance, lsd	Asafoetida	18.3 Years	
VT-SLP	Boeing 737-700	Y149	May 2018	lsd		16.8 Years	
VT-SYT	Boeing 737-700	C8Y126	Jun 2019	Parked at MAA		18.3 Years	
VT-SYU	Boeing 737-700	Y144	May 2019	Parked at DEL		18.2 Years	
9H-CXA	Boeing 737-800	Y189	Oct 2025	lsf Corendon Airlines Europe		11.3 Years	
9H-CXB	Boeing 737-800	Y189	Nov 2025	lsf Corendon Airlines Europe		11.5 Years	
9H-CXH	Boeing 737-800	Y189	Nov 2025	lsf Corendon Airlines Europe		7.6 Years	
9H-TJC	Boeing 737-800	Y189	Oct 2025	lsf Corendon Airlines Europe		14.9 Years	
9H-TJE	Boeing 737-800	Y189	Nov 2025	lsf Corendon Airlines Europe		17.8 Years	
EI-FFA	Boeing 737-800	Y189	Nov 2025	lsf Fly4 Airlines		14.9 Years	
EI-FFB	Boeing 737-800	Y189	Oct 2025	lsf Fly4 Airlines		13 Years	
EI-FFC	Boeing 737-800	Y189	Oct 2025	lsf Fly4 Airlines		12.8 Years	
EI-FFD	Boeing 737-800	Y189	Due	Stored, lsf Fly4 Airlines		12.7 Years	
OK-TVM	Boeing 737-800	Y189	Oct 2025	lsf Smartwings		15.9 Years	
OK-TVR	Boeing 737-800	Y189	Oct 2025	lsf Smartwings		14.7 Years	
OK-TVS	Boeing 737-800	Y189	Oct 2025	lsf Smartwings		14.6 Years	
OK-TVU	Boeing 737-800	Y189	Nov 2025	lsf Smartwings		13.7 Years	
