time,tmc,bjp,tmc_vote_pct,bjp_vote_pct
09:55,4,21,,
10:00,18,38,,
10:05,24,46,,
10:32,39,68,40.78,44.83
10:36,41,76,40.68,45.35
10:47,52,92,41.44,44.99
10:53,57,97,41.73,44.90
11:03,69,111,42.20,44.49
11:15,71,121,41.80,44.75
11:22,71,132,41.65,44.97
11:27,73,140,41.54,45.01
11:35,82,147,41.85,44.82
11:48,83,159,41.80,44.89
12:01,83,171,41.53,45.00
12:12,90,170,41.75,44.82
12:24,94,174,41.58,44.94
12:39,94,177,41.53,44.95
12:45,92,181,41.53,44.81
12:48,92,181,41.52,44.74
12:51,91,182,41.50,44.76
12:57,91,185,41.51,44.70
13:03,93,185,41.45,44.77
13:06,92,187,41.40,44.74
13:12,92,188,41.41,44.77
13:18,94,188,41.46,44.81
13:21,94,188,41.39,44.85
13:27,95,190,41.38,44.72
13:33,94,192,41.34,44.74
13:36,94,192,41.29,44.82
13:42,92,194,41.26,44.93
13:48,92,194,41.19,44.84
13:51,92,194,41.16,44.92
13:57,92,194,41.19,44.85
14:03,94,192,41.15,44.90
14:06,93,193,41.10,44.92
14:12,92,195,41.12,44.90
14:18,94,193,41.12,44.88
14:21,95,192,41.10,44.98
14:27,95,192,41.07,44.93
14:33,96,191,41.01,44.89
14:39,95,192,41.02,44.93
14:42,94,193,40.98,44.97
14:48,94,193,40.94,45.05
14:54,96,192,40.93,45.10
14:57,96,192,40.93,45.09
15:03,95,193,40.96,45.02
15:06,94,194,40.94,45.06
15:12,92,195,40.92,45.07
15:18,92,195,40.96,45.08
15:24,92,195,40.95,45.09
15:27,92,195,40.92,45.10
15:33,91,196,40.88,45.14
15:39,91,196,40.88,45.12
15:42,90,197,40.87,45.16
15:48,90,197,40.84,45.22
15:51,89,198,40.83,45.19
